company,product,date,price
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2024-11-30,290.96
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2024-11-30,101.11
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2024-11-30,2504.41
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2024-11-30,301.04
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2024-11-30,81.53
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2024-11-30,132.19
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2024-11-30,19470.75
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2024-11-30,108.4
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2024-11-30,2690.12
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2024-11-30,18466.47
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2024-11-30,2503.06
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2024-11-30,61.21
66 Металлообрабатывающий завод,Провода,2024-11-30,122.05
66 Металлообрабатывающий завод,Металлоконструкции,2024-11-30,73129.47
Лепсе,Арматура,2024-11-30,120.07
Лепсе,Сетки металлические,2024-11-30,114.54
Завод Сельмаш,Корпуса,2024-11-30,4875.8
Лискимонтажконструкция,Металлоконструкции,2024-11-30,69029.25
Лискимонтажконструкция,Рессоры,2024-11-30,16076.16
Лискимонтажконструкция,Стальные изделия,2024-11-30,127.61
Завод корпусов,Стальные изделия,2024-11-30,106.74
Завод корпусов,Металлоконструкции,2024-11-30,59963.87
Завод корпусов,Корпуса,2024-11-30,4624.15
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2024-11-30,122.6
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2024-11-30,120.23
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2024-11-30,107.49
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2024-11-30,137.64
Завод litsey-tsvetnyh-metallov,Металлопродукция,2024-11-30,103.33
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-11-30,119.92
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2024-11-30,121.52
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-11-30,108.05
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-11-30,139.7
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-11-30,136.73
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2024-11-30,125.65
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2024-12-07,289.25
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2024-12-07,102.01
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2024-12-07,2489.98
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2024-12-07,317.81
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2024-12-07,77.07
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2024-12-07,139.75
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2024-12-07,20189.99
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2024-12-07,110.02
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2024-12-07,2731.74
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2024-12-07,17344.63
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2024-12-07,2433.29
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2024-12-07,61.19
66 Металлообрабатывающий завод,Провода,2024-12-07,121.08
66 Металлообрабатывающий завод,Металлоконструкции,2024-12-07,74833.43
Лепсе,Арматура,2024-12-07,119.74
Лепсе,Сетки металлические,2024-12-07,109.74
Завод Сельмаш,Корпуса,2024-12-07,4707.24
Лискимонтажконструкция,Металлоконструкции,2024-12-07,68281.46
Лискимонтажконструкция,Рессоры,2024-12-07,16324.55
Лискимонтажконструкция,Стальные изделия,2024-12-07,133.03
Завод корпусов,Стальные изделия,2024-12-07,111.91
Завод корпусов,Металлоконструкции,2024-12-07,55640.35
Завод корпусов,Корпуса,2024-12-07,4634.77
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2024-12-07,123.72
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2024-12-07,115.3
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2024-12-07,113.25
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2024-12-07,135.71
